ID,gender,frame,t(s),x(m),y(m),markerID
1,1,0,0.0,-3.6959,0.2355,761
1,1,1,0.04,-3.6978,0.2343,761
1,1,2,0.08,-3.7026,0.2454,761
1,1,3,0.12,-3.7053,0.2472,761
1,1,4,0.16,-3.7073,0.2461,761
1,1,5,0.2,-3.7078,0.2461,761
1,1,6,0.24,-3.7099,0.2479,761
1,1,7,0.28,-3.7102,0.2471,761
1,1,8,0.32,-3.7105,0.2494,761
1,1,9,0.36,-3.7114,0.2485,761
1,1,10,0.4,-3.7117,0.2488,761
1,1,11,0.44,-3.7128,0.2507,761
1,1,12,0.48,-3.713,0.251,761
1,1,13,0.52,-3.7145,0.2497,761
1,1,14,0.56,-3.7141,0.2537,761
1,1,15,0.6,-3.7175,0.256,761
1,1,16,0.64,-3.7126,0.2558,761
1,1,17,0.68,-3.7166,0.2553,761
1,1,18,0.72,-3.715,0.2556,761
1,1,19,0.76,-3.7158,0.2581,761
1,1,20,0.8,-3.718,0.2579,761
1,1,21,0.84,-3.7168,0.2607,761
1,1,22,0.88,-3.7178,0.2611,761
1,1,23,0.92,-3.718,0.2616,761
1,1,24,0.96,-3.7183,0.2632,761
1,1,25,1.0,-3.7122,0.2539,761
1,1,26,1.04,-3.7202,0.2631,761
1,1,27,1.08,-3.7194,0.2642,761
1,1,28,1.12,-3.72,0.2621,761
1,1,29,1.16,-3.7194,0.2641,761
1,1,30,1.2,-3.7185,0.265,761
1,1,31,1.24,-3.7174,0.2633,761
1,1,32,1.28,-3.7175,0.2658,761
1,1,33,1.32,-3.7136,0.2644,761
1,1,34,1.36,-3.711,0.2664,761
1,1,35,1.4,-3.713,0.2664,761
1,1,36,1.44,-3.7072,0.2651,761
1,1,37,1.48,-3.7025,0.2667,761
1,1,38,1.52,-3.6985,0.267,761
1,1,39,1.56,-3.6908,0.2655,761
1,1,40,1.6,-3.6822,0.2633,761
1,1,41,1.64,-3.6806,0.2619,761
1,1,42,1.68,-3.6674,0.2603,761
1,1,43,1.72,-3.6653,0.2556,761
1,1,44,1.76,-3.6578,0.2531,761
1,1,45,1.8,-3.6439,0.2401,761
1,1,46,1.84,-3.638,0.2388,761
1,1,47,1.88,-3.6348,0.2429,761
1,1,48,1.92,-3.6297,0.2392,761
1,1,49,1.96,-3.6212,0.2378,761
1,1,50,2.0,-3.6065,0.2273,761
1,1,51,2.04,-3.6024,0.2356,761
1,1,52,2.08,-3.594,0.2356,761
1,1,53,2.12,-3.5842,0.2374,761
1,1,54,2.16,-3.57,0.231,761
1,1,55,2.2,-3.5686,0.2445,761
1,1,56,2.24,-3.5512,0.2427,761
1,1,57,2.28,-3.548,0.2573,761
1,1,58,2.32,-3.5394,0.2676,761
1,1,59,2.36,-3.5313,0.2783,761
1,1,60,2.4,-3.5224,0.2912,761
1,1,61,2.44,-3.5125,0.304,761
1,1,62,2.48,-3.5038,0.3179,761
1,1,63,2.52,-3.4938,0.3334,761
1,1,64,2.56,-3.484,0.3424,761
1,1,65,2.6,-3.4752,0.3533,761
1,1,66,2.64,-3.4608,0.3647,761
1,1,67,2.68,-3.4514,0.3749,761
1,1,68,2.72,-3.4389,0.3853,761
1,1,69,2.76,-3.4299,0.3905,761
1,1,70,2.8,-3.4112,0.3834,761
1,1,71,2.84,-3.4101,0.3917,761
1,1,72,2.88,-3.4003,0.3848,761
1,1,73,2.92,-3.3943,0.3941,761
1,1,74,2.96,-3.3771,0.379,761
1,1,75,3.0,-3.3726,0.3664,761
1,1,76,3.04,-3.3671,0.3624,761
1,1,77,3.08,-3.3584,0.3521,761
1,1,78,3.12,-3.352,0.3392,761
1,1,79,3.16,-3.3455,0.3247,761
1,1,80,3.2,-3.3393,0.3046,761
1,1,81,3.24,-3.3329,0.2879,761
1,1,82,3.28,-3.3222,0.2679,761
1,1,83,3.32,-3.3117,0.2501,761
1,1,84,3.36,-3.3034,0.2318,761
1,1,85,3.4,-3.2924,0.214,761
1,1,86,3.44,-3.2823,0.1955,761
1,1,87,3.48,-3.2712,0.1834,761
1,1,88,3.52,-3.2589,0.1661,761
1,1,89,3.56,-3.251,0.1542,761
1,1,90,3.6,-3.2489,0.1481,761
1,1,91,3.64,-3.2381,0.1367,761
1,1,92,3.68,-3.235,0.1278,761
1,1,93,3.72,-3.2192,0.1225,761
1,1,94,3.76,-3.2217,0.1149,761
1,1,95,3.8,-3.2133,0.1127,761
1,1,96,3.84,-3.2069,0.1121,761
1,1,97,3.88,-3.201,0.1128,761
1,1,98,3.92,-3.1967,0.1144,761
1,1,99,3.96,-3.1887,0.1218,761
1,1,100,4.0,-3.1856,0.1269,761
1,1,101,4.04,-3.1799,0.1376,761
1,1,102,4.08,-3.1731,0.1466,761
1,1,103,4.12,-3.1677,0.1603,761
1,1,104,4.16,-3.1615,0.1747,761
1,1,105,4.2,-3.1538,0.188,761
1,1,106,4.24,-3.1521,0.2012,761
1,1,107,4.28,-3.1416,0.2271,761
1,1,108,4.32,-3.1335,0.2448,761
1,1,109,4.36,-3.123,0.2599,761
1,1,110,4.4,-3.1134,0.2735,761
1,1,111,4.44,-3.1044,0.2858,761
1,1,112,4.48,-3.0952,0.2949,761
1,1,113,4.52,-3.0868,0.3002,761
1,1,114,4.56,-3.0788,0.3035,761
1,1,115,4.6,-3.0679,0.3043,761
1,1,116,4.64,-3.0595,0.3025,761
1,1,117,4.68,-3.0451,0.2948,761
1,1,118,4.72,-3.0295,0.2837,761
1,1,119,4.76,-3.0249,0.2788,761
1,1,120,4.8,-3.0124,0.2661,761
1,1,121,4.84,-2.9992,0.2481,761
1,1,122,4.88,-2.9947,0.2382,761
1,1,123,4.92,-2.9765,0.2283,761
1,1,124,4.96,-2.9667,0.2148,761
1,1,125,5.0,-2.9514,0.2055,761
1,1,126,5.04,-2.9442,0.201,761
1,1,127,5.08,-2.929,0.189,761
1,1,128,5.12,-2.9138,0.1804,761
1,1,129,5.16,-2.9092,0.1809,761
1,1,130,5.2,-2.8994,0.179,761
1,1,131,5.24,-2.8915,0.1779,761
1,1,132,5.28,-2.8829,0.1796,761
1,1,133,5.32,-2.8786,0.1812,761
1,1,134,5.36,-2.8684,0.1785,761
1,1,135,5.4,-2.8673,0.1924,761
1,1,136,5.44,-2.8634,0.2002,761
1,1,137,5.48,-2.861,0.2107,761
1,1,138,5.52,-2.8573,0.2239,761
1,1,139,5.56,-2.8569,0.2368,761
1,1,140,5.6,-2.8545,0.2538,761
1,1,141,5.64,-2.8521,0.2704,761
1,1,142,5.68,-2.8506,0.2859,761
1,1,143,5.72,-2.8449,0.3019,761
1,1,144,5.76,-2.8384,0.318,761
1,1,145,5.8,-2.8314,0.333,761
1,1,146,5.84,-2.8248,0.3441,761
1,1,147,5.88,-2.8154,0.3581,761
1,1,148,5.92,-2.8071,0.3655,761
1,1,149,5.96,-2.8014,0.3764,761
1,1,150,6.0,-2.7961,0.3825,761
1,1,151,6.04,-2.7908,0.3881,761
1,1,152,6.08,-2.7835,0.3879,761
1,1,153,6.12,-2.7755,0.3883,761
1,1,154,6.16,-2.7676,0.3876,761
1,1,155,6.2,-2.7585,0.3855,761
1,1,156,6.24,-2.747,0.3814,761
1,1,157,6.28,-2.734,0.3736,761
1,1,158,6.32,-2.7227,0.3652,761
