ID,gender,frame,t(s),x(m),y(m),markerID
1,1,0,0.0,0.2572,1.562,2
1,1,1,0.04,0.2795,1.5636,2
1,1,2,0.08,0.3028,1.5625,2
1,1,3,0.12,0.3266,1.5598,2
1,1,4,0.16,0.3517,1.5587,2
1,1,5,0.2,0.3751,1.5509,2
1,1,6,0.24,0.4017,1.5512,2
1,1,7,0.28,0.4252,1.5469,2
1,1,8,0.32,0.45,1.5471,2
1,1,9,0.36,0.4732,1.5499,2
1,1,10,0.4,0.4947,1.5514,2
1,1,11,0.44,0.5139,1.5541,2
1,1,12,0.48,0.5287,1.554,2
1,1,13,0.52,0.5452,1.5561,2
1,1,14,0.56,0.5563,1.5563,2
1,1,15,0.6,0.5659,1.557,2
1,1,16,0.64,0.5767,1.559,2
1,1,17,0.68,0.5866,1.5563,2
1,1,18,0.72,0.596,1.5582,2
1,1,19,0.76,0.6061,1.5591,2
1,1,20,0.8,0.6166,1.5581,2
1,1,21,0.84,0.6269,1.5583,2
1,1,22,0.88,0.6337,1.5569,2
1,1,23,0.92,0.6393,1.557,2
1,1,24,0.96,0.6419,1.5545,2
1,1,25,1.0,0.6448,1.5562,2
1,1,26,1.04,0.6447,1.5563,2
1,1,27,1.08,0.644,1.5566,2
1,1,28,1.12,0.6416,1.5556,2
1,1,29,1.16,0.6385,1.5554,2
1,1,30,1.2,0.6343,1.5529,2
1,1,31,1.24,0.63,1.55,2
1,1,32,1.28,0.6254,1.5466,2
1,1,33,1.32,0.6214,1.5437,2
1,1,34,1.36,0.6189,1.5424,2
1,1,35,1.4,0.6163,1.5422,2
1,1,36,1.44,0.6155,1.5402,2
1,1,37,1.48,0.6169,1.5401,2
1,1,38,1.52,0.6215,1.5386,2
1,1,39,1.56,0.628,1.5381,2
1,1,40,1.6,0.638,1.5376,2
1,1,41,1.64,0.6505,1.538,2
1,1,42,1.68,0.6661,1.5381,2
1,1,43,1.72,0.6858,1.539,2
1,1,44,1.76,0.7092,1.5345,2
1,1,45,1.8,0.7364,1.5307,2
1,1,46,1.84,0.7642,1.5256,2
1,1,47,1.88,0.796,1.521,2
1,1,48,1.92,0.831,1.5161,2
1,1,49,1.96,0.8678,1.5107,2
1,1,50,2.0,0.9057,1.5057,2
1,1,51,2.04,0.9482,1.5035,2
1,1,52,2.08,0.9913,1.5036,2
1,1,53,2.12,1.0375,1.507,2
1,1,54,2.16,1.0866,1.5136,2
1,1,55,2.2,1.1365,1.5173,2
1,1,56,2.24,1.1822,1.5184,2
1,1,57,2.28,1.2339,1.524,2
1,1,58,2.32,1.2844,1.5302,2
1,1,59,2.36,1.3336,1.5317,2
1,1,60,2.4,1.38,1.5312,2
1,1,61,2.44,1.431,1.5284,2
1,1,62,2.48,1.478,1.5195,2
1,1,63,2.52,1.5265,1.5118,2
1,1,64,2.56,1.5761,1.5026,2
1,1,65,2.6,1.6234,1.4927,2
1,1,66,2.64,1.6717,1.4887,2
1,1,67,2.68,1.7274,1.4906,2
1,1,68,2.72,1.7779,1.4997,2
1,1,69,2.76,1.8283,1.5076,2
1,1,70,2.8,1.8784,1.5152,2
1,1,71,2.84,1.9312,1.526,2
1,1,72,2.88,1.9832,1.5342,2
1,1,73,2.92,2.0224,1.5367,2
1,1,74,2.96,2.0689,1.5361,2
1,1,75,3.0,2.1167,1.533,2
1,1,76,3.04,2.167,1.5227,2
1,1,77,3.08,2.2171,1.5146,2
1,1,78,3.12,2.2701,1.505,2
1,1,79,3.16,2.328,1.5012,2
1,1,80,3.2,2.383,1.4999,2
1,1,81,3.24,2.4411,1.5027,2
1,1,82,3.28,2.5029,1.5101,2
1,1,83,3.32,2.5636,1.5184,2
1,1,84,3.36,2.6188,1.5297,2
1,1,85,3.4,2.6753,1.5397,2
1,1,86,3.44,2.7292,1.5438,2
1,1,87,3.48,2.7802,1.5442,2
1,1,88,3.52,2.8316,1.5397,2
1,1,89,3.56,2.8838,1.529,2
1,1,90,3.6,2.9335,1.5168,2
1,1,91,3.64,2.9857,1.5038,2
1,1,92,3.68,3.0381,1.4888,2
1,1,93,3.72,3.0899,1.4814,2
1,1,94,3.76,3.1393,1.4814,2
1,1,95,3.8,3.1895,1.486,2
1,1,96,3.84,3.24,1.4913,2
1,1,97,3.88,3.2911,1.495,2
1,1,98,3.92,3.3396,1.5019,2
1,1,99,3.96,3.3884,1.5073,2
1,1,100,4.0,3.4366,1.5068,2
1,1,101,4.04,3.4832,1.5048,2
