ID,gender,frame,t(s),x(m),y(m),markerID
1,1,0,0.0,-0.0504,1.442,32
1,1,1,0.04,-0.0472,1.4413,32
1,1,2,0.08,-0.0463,1.4412,32
1,1,3,0.12,-0.041,1.4402,32
1,1,4,0.16,-0.0354,1.442,32
1,1,5,0.2,-0.0276,1.4462,32
1,1,6,0.24,-0.0261,1.4456,32
1,1,7,0.28,-0.0246,1.445,32
1,1,8,0.32,-0.0139,1.4419,32
1,1,9,0.36,0.0024,1.4292,32
1,1,10,0.4,0.0188,1.4252,32
1,1,11,0.44,0.0372,1.4254,32
1,1,12,0.48,0.0491,1.4088,32
1,1,13,0.52,0.0778,1.4049,32
1,1,14,0.56,0.1042,1.4091,32
1,1,15,0.6,0.1344,1.4172,32
1,1,16,0.64,0.1668,1.4286,32
1,1,17,0.68,0.2038,1.4352,32
1,1,18,0.72,0.2373,1.4376,32
1,1,19,0.76,0.2713,1.4444,32
1,1,20,0.8,0.3057,1.4484,32
1,1,21,0.84,0.3406,1.4509,32
1,1,22,0.88,0.3784,1.4474,32
1,1,23,0.92,0.4183,1.4461,32
1,1,24,0.96,0.4578,1.4352,32
1,1,25,1.0,0.4981,1.4409,32
1,1,26,1.04,0.5385,1.4236,32
1,1,27,1.08,0.5812,1.4105,32
1,1,28,1.12,0.6307,1.3982,32
1,1,29,1.16,0.6805,1.3957,32
1,1,30,1.2,0.7302,1.4015,32
1,1,31,1.24,0.7816,1.4085,32
1,1,32,1.28,0.8381,1.4179,32
1,1,33,1.32,0.8893,1.4284,32
1,1,34,1.36,0.944,1.4393,32
1,1,35,1.4,0.9961,1.4421,32
1,1,36,1.44,1.0476,1.4413,32
1,1,37,1.48,1.0996,1.4412,32
1,1,38,1.52,1.1507,1.4368,32
1,1,39,1.56,1.2019,1.4264,32
1,1,40,1.6,1.2556,1.4164,32
1,1,41,1.64,1.3071,1.403,32
1,1,42,1.68,1.3629,1.3959,32
1,1,43,1.72,1.4218,1.3902,32
1,1,44,1.76,1.4766,1.3964,32
1,1,45,1.8,1.5347,1.4037,32
1,1,46,1.84,1.5888,1.4149,32
1,1,47,1.88,1.6459,1.4273,32
1,1,48,1.92,1.6993,1.4407,32
1,1,49,1.96,1.7526,1.451,32
1,1,50,2.0,1.8053,1.4544,32
1,1,51,2.04,1.8587,1.4549,32
1,1,52,2.08,1.9075,1.4472,32
1,1,53,2.12,1.9641,1.4311,32
1,1,54,2.16,2.0189,1.4171,32
1,1,55,2.2,2.0753,1.3943,32
1,1,56,2.24,2.1336,1.3873,32
1,1,57,2.28,2.1923,1.3862,32
1,1,58,2.32,2.2537,1.389,32
1,1,59,2.36,2.3102,1.4043,32
1,1,60,2.4,2.3756,1.4091,32
1,1,61,2.44,2.4271,1.4171,32
1,1,62,2.48,2.4818,1.4191,32
1,1,63,2.52,2.5343,1.4232,32
1,1,64,2.56,2.5819,1.4211,32
1,1,65,2.6,2.6342,1.4084,32
1,1,66,2.64,2.6893,1.3947,32
1,1,67,2.68,2.7407,1.3852,32
1,1,68,2.72,2.8041,1.3729,32
1,1,69,2.76,2.8616,1.3725,32
1,1,70,2.8,2.9391,1.3585,32
1,1,71,2.84,2.9993,1.3631,32
1,1,72,2.88,3.0559,1.3709,32
1,1,73,2.92,3.11,1.384,32
1,1,74,2.96,3.1634,1.3925,32
1,1,75,3.0,3.214,1.3954,32
1,1,76,3.04,3.2642,1.3961,32
1,1,77,3.08,3.3091,1.3917,32
1,1,78,3.12,3.3579,1.3812,32
1,1,79,3.16,3.4033,1.3641,32
2,1,46,1.84,-0.1388,1.4195,40
2,1,47,1.88,-0.1104,1.4088,40
2,1,48,1.92,-0.081,1.3976,40
2,1,49,1.96,-0.0492,1.3815,40
2,1,50,2.0,-0.0132,1.3758,40
2,1,51,2.04,0.0248,1.364,40
2,1,52,2.08,0.0623,1.3718,40
2,1,53,2.12,0.0951,1.3798,40
2,1,54,2.16,0.133,1.3813,40
2,1,55,2.2,0.1732,1.3748,40
2,1,56,2.24,0.2149,1.371,40
2,1,57,2.28,0.2565,1.3652,40
2,1,58,2.32,0.3011,1.3582,40
2,1,59,2.36,0.3482,1.3485,40
2,1,60,2.4,0.3965,1.346,40
2,1,61,2.44,0.441,1.3539,40
2,1,62,2.48,0.4883,1.3607,40
2,1,63,2.52,0.5355,1.362,40
2,1,64,2.56,0.5777,1.3678,40
2,1,65,2.6,0.6197,1.3707,40
2,1,66,2.64,0.6596,1.3741,40
2,1,67,2.68,0.6987,1.3733,40
2,1,68,2.72,0.7369,1.3696,40
2,1,69,2.76,0.7751,1.3648,40
2,1,70,2.8,0.8148,1.3606,40
2,1,71,2.84,0.8571,1.3507,40
2,1,72,2.88,0.9002,1.3443,40
2,1,73,2.92,0.9469,1.3376,40
2,1,74,2.96,0.9935,1.337,40
2,1,75,3.0,1.042,1.3424,40
2,1,76,3.04,1.0895,1.348,40
2,1,77,3.08,1.1376,1.3543,40
2,1,78,3.12,1.1834,1.3617,40
2,1,79,3.16,1.2399,1.3598,40
2,1,80,3.2,1.2861,1.362,40
2,1,81,3.24,1.3351,1.3599,40
