ID,gender,frame,t(s),x(m),y(m),markerID
1,2,0,0.0,0.5703,1.4745,1
1,2,1,0.04,0.6218,1.47,1
1,2,2,0.08,0.6759,1.4706,1
1,2,3,0.12,0.7318,1.4767,1
1,2,4,0.16,0.7874,1.4857,1
1,2,5,0.2,0.8413,1.4952,1
1,2,6,0.24,0.8933,1.5047,1
1,2,7,0.28,0.9432,1.514,1
1,2,8,0.32,0.9913,1.5216,1
1,2,9,0.36,1.038,1.5272,1
1,2,10,0.4,1.0849,1.5295,1
1,2,11,0.44,1.1323,1.5278,1
1,2,12,0.48,1.1809,1.5224,1
1,2,13,0.52,1.2308,1.5143,1
1,2,14,0.56,1.2819,1.5074,1
1,2,15,0.6,1.3357,1.505,1
1,2,16,0.64,1.392,1.5081,1
1,2,17,0.68,1.4488,1.5152,1
1,2,18,0.72,1.5044,1.5251,1
1,2,19,0.76,1.5597,1.5369,1
1,2,20,0.8,1.6149,1.5491,1
1,2,21,0.84,1.6697,1.5594,1
1,2,22,0.88,1.7247,1.5655,1
1,2,23,0.92,1.7805,1.5656,1
1,2,24,0.96,1.8374,1.5603,1
1,2,25,1.0,1.8951,1.5513,1
1,2,26,1.04,1.9529,1.5417,1
1,2,27,1.08,2.0108,1.535,1
1,2,28,1.12,2.0682,1.532,1
1,2,29,1.16,2.1252,1.5341,1
1,2,30,1.2,2.1817,1.5385,1
1,2,31,1.24,2.2393,1.5447,1
1,2,32,1.28,2.2975,1.552,1
1,2,33,1.32,2.3559,1.5586,1
1,2,34,1.36,2.414,1.5616,1
1,2,35,1.4,2.4718,1.5597,1
1,2,36,1.44,2.5301,1.5534,1
1,2,37,1.48,2.5887,1.544,1
1,2,38,1.52,2.6473,1.5325,1
1,2,39,1.56,2.7062,1.5223,1
1,2,40,1.6,2.7654,1.5154,1
1,2,41,1.64,2.8245,1.5139,1
1,2,42,1.68,2.883,1.517,1
1,2,43,1.72,2.9392,1.5234,1
1,2,44,1.76,2.9922,1.5326,1
1,2,45,1.8,3.041,1.5422,1
1,2,46,1.84,3.0855,1.5496,1
1,2,47,1.88,3.128,1.5526,1
1,2,48,1.92,3.1691,1.5503,1
1,2,49,1.96,3.2098,1.5428,1
1,2,50,2.0,3.2517,1.5322,1
1,2,51,2.04,3.2889,1.5206,1
2,2,281,11.24,-0.1564,1.455,1
2,2,282,11.28,-0.1074,1.4483,1
2,2,283,11.32,-0.056,1.4452,1
2,2,284,11.36,-0.0037,1.4473,1
2,2,285,11.4,0.0475,1.4536,1
2,2,286,11.44,0.097,1.4632,1
2,2,287,11.48,0.1448,1.4752,1
2,2,288,11.52,0.1913,1.4882,1
2,2,289,11.56,0.2362,1.5004,1
2,2,290,11.6,0.2794,1.5103,1
2,2,291,11.64,0.3225,1.5166,1
2,2,292,11.68,0.3658,1.5186,1
2,2,293,11.72,0.4095,1.5164,1
2,2,294,11.76,0.4544,1.5114,1
2,2,295,11.8,0.4996,1.5059,1
2,2,296,11.84,0.5463,1.5029,1
2,2,297,11.88,0.5944,1.5044,1
2,2,298,11.92,0.6436,1.5109,1
2,2,299,11.96,0.6935,1.5207,1
2,2,300,12.0,0.7444,1.5326,1
2,2,301,12.04,0.7963,1.5446,1
2,2,302,12.08,0.849,1.5543,1
2,2,303,12.12,0.9015,1.5596,1
2,2,304,12.16,0.954,1.5606,1
2,2,305,12.2,1.0072,1.5571,1
2,2,306,12.24,1.0618,1.5501,1
2,2,307,12.28,1.1169,1.5409,1
2,2,308,12.32,1.1722,1.5324,1
2,2,309,12.36,1.2276,1.5264,1
2,2,310,12.4,1.2834,1.5248,1
2,2,311,12.44,1.3393,1.5264,1
2,2,312,12.48,1.3957,1.5314,1
2,2,313,12.52,1.4531,1.539,1
2,2,314,12.56,1.5103,1.548,1
2,2,315,12.6,1.5677,1.5553,1
2,2,316,12.64,1.6247,1.5593,1
2,2,317,12.68,1.6822,1.5592,1
2,2,318,12.72,1.7405,1.5547,1
2,2,319,12.76,1.7992,1.5465,1
2,2,320,12.8,1.8589,1.5361,1
2,2,321,12.84,1.919,1.5255,1
2,2,322,12.88,1.9798,1.5178,1
2,2,323,12.92,2.0409,1.5146,1
2,2,324,12.96,2.1028,1.5181,1
2,2,325,13.0,2.1631,1.524,1
2,2,326,13.04,2.2218,1.5324,1
2,2,327,13.08,2.2789,1.5416,1
2,2,328,13.12,2.3346,1.5498,1
2,2,329,13.16,2.3892,1.555,1
2,2,330,13.2,2.4438,1.5564,1
2,2,331,13.24,2.4984,1.5536,1
2,2,332,13.28,2.5532,1.5468,1
2,2,333,13.32,2.6077,1.5369,1
2,2,334,13.36,2.6619,1.5266,1
2,2,335,13.4,2.7157,1.5186,1
2,2,336,13.44,2.7683,1.5141,1
2,2,337,13.48,2.8192,1.5158,1
2,2,338,13.52,2.8688,1.5215,1
2,2,339,13.56,2.9169,1.5295,1
2,2,340,13.6,2.9636,1.5389,1
2,2,341,13.64,3.0099,1.5479,1
2,2,342,13.68,3.0556,1.5537,1
2,2,343,13.72,3.1013,1.5552,1
2,2,344,13.76,3.1482,1.5516,1
2,2,345,13.8,3.196,1.5438,1
2,2,346,13.84,3.2404,1.5294,1
2,2,347,13.88,3.3023,1.5216,1
3,2,621,24.84,-0.0689,1.6091,3
3,2,622,24.88,-0.0125,1.6007,3
3,2,623,24.92,0.0444,1.5925,3
3,2,624,24.96,0.101,1.5868,3
3,2,625,25.0,0.1569,1.5838,3
3,2,626,25.04,0.213,1.5863,3
3,2,627,25.08,0.2668,1.5898,3
3,2,628,25.12,0.3206,1.5966,3
3,2,629,25.16,0.3731,1.6036,3
3,2,630,25.2,0.4248,1.6095,3
3,2,631,25.24,0.4747,1.6116,3
3,2,632,25.28,0.5248,1.6106,3
3,2,633,25.32,0.576,1.6071,3
3,2,634,25.36,0.6283,1.6027,3
3,2,635,25.4,0.6807,1.5976,3
3,2,636,25.44,0.7329,1.5927,3
3,2,637,25.48,0.7858,1.5909,3
3,2,638,25.52,0.8387,1.591,3
3,2,639,25.56,0.8935,1.595,3
3,2,640,25.6,0.9474,1.5991,3
3,2,641,25.64,1.0018,1.6045,3
3,2,642,25.68,1.0566,1.6105,3
3,2,643,25.72,1.1116,1.6159,3
3,2,644,25.76,1.1659,1.618,3
3,2,645,25.8,1.2205,1.6164,3
3,2,646,25.84,1.276,1.6117,3
3,2,647,25.88,1.3314,1.6039,3
3,2,648,25.92,1.3866,1.5951,3
3,2,649,25.96,1.4412,1.5878,3
3,2,650,26.0,1.495,1.5832,3
3,2,651,26.04,1.5494,1.5831,3
3,2,652,26.08,1.6011,1.5848,3
3,2,653,26.12,1.6516,1.5893,3
3,2,654,26.16,1.7013,1.596,3
3,2,655,26.2,1.7494,1.6017,3
3,2,656,26.24,1.7956,1.605,3
3,2,657,26.28,1.843,1.6061,3
3,2,658,26.32,1.8908,1.6041,3
3,2,659,26.36,1.9397,1.6006,3
3,2,660,26.4,1.9891,1.5959,3
3,2,661,26.44,2.0397,1.5909,3
3,2,662,26.48,2.0924,1.5866,3
3,2,663,26.52,2.1467,1.5852,3
3,2,664,26.56,2.2016,1.5873,3
3,2,665,26.6,2.2553,1.5914,3
3,2,666,26.64,2.3067,1.5968,3
3,2,667,26.68,2.3562,1.6036,3
3,2,668,26.72,2.4035,1.6102,3
3,2,669,26.76,2.4506,1.6139,3
3,2,670,26.8,2.4984,1.6144,3
3,2,671,26.84,2.5473,1.6113,3
3,2,672,26.88,2.5965,1.6056,3
3,2,673,26.92,2.6448,1.5979,3
3,2,674,26.96,2.6911,1.5897,3
3,2,675,27.0,2.7366,1.5845,3
3,2,676,27.04,2.7799,1.5815,3
3,2,677,27.08,2.8225,1.5832,3
3,2,678,27.12,2.8638,1.586,3
3,2,679,27.16,2.9058,1.5904,3
3,2,680,27.2,2.947,1.5935,3
3,2,681,27.24,2.9874,1.5955,3
3,2,682,27.28,3.0269,1.595,3
3,2,683,27.32,3.0664,1.5924,3
3,2,684,27.36,3.1056,1.5879,3
3,2,685,27.4,3.1445,1.583,3
3,2,686,27.44,3.1824,1.5767,3
3,2,687,27.48,3.2205,1.5707,3
3,2,688,27.52,3.2587,1.5658,3
3,2,689,27.56,3.2967,1.5628,3
4,2,955,38.2,-0.1125,1.538,3
4,2,956,38.24,-0.0771,1.5463,3
4,2,957,38.28,-0.0394,1.5545,3
4,2,958,38.32,0.0001,1.5626,3
4,2,959,38.36,0.0408,1.5682,3
4,2,960,38.4,0.0826,1.5709,3
4,2,961,38.44,0.1255,1.5708,3
4,2,962,38.48,0.1699,1.5688,3
4,2,963,38.52,0.2156,1.5648,3
4,2,964,38.56,0.2617,1.559,3
4,2,965,38.6,0.3083,1.5541,3
4,2,966,38.64,0.3561,1.5511,3
4,2,967,38.68,0.4043,1.5528,3
4,2,968,38.72,0.4517,1.5564,3
4,2,969,38.76,0.4981,1.5623,3
4,2,970,38.8,0.5433,1.5695,3
4,2,971,38.84,0.5871,1.5765,3
4,2,972,38.88,0.6297,1.5814,3
4,2,973,38.92,0.6729,1.5831,3
4,2,974,38.96,0.7173,1.5821,3
4,2,975,39.0,0.7634,1.5788,3
4,2,976,39.04,0.8104,1.574,3
4,2,977,39.08,0.8581,1.5685,3
4,2,978,39.12,0.9067,1.5632,3
4,2,979,39.16,0.9556,1.5606,3
4,2,980,39.2,1.0054,1.5623,3
