ID,next,prev,gender,frame,t(s),x(m),y(m)
1,2.0,3.0,2,0,0.0,0.686,1.6315
1,2.0,3.0,2,1,0.04,0.6901,1.6314
1,2.0,3.0,2,2,0.08,0.6949,1.6313
1,2.0,3.0,2,3,0.12,0.7005,1.6309
1,2.0,3.0,2,4,0.16,0.707,1.6301
1,2.0,3.0,2,5,0.2,0.7145,1.6297
1,2.0,3.0,2,6,0.24,0.7234,1.6296
1,2.0,3.0,2,7,0.28,0.7339,1.6294
1,2.0,3.0,2,8,0.32,0.7462,1.629
1,2.0,3.0,2,9,0.36,0.7604,1.6282
1,2.0,3.0,2,10,0.4,0.7768,1.6273
1,2.0,3.0,2,11,0.44,0.7947,1.6273
1,2.0,3.0,2,12,0.48,0.8135,1.629
1,2.0,3.0,2,13,0.52,0.8341,1.6329
1,2.0,3.0,2,14,0.56,0.8584,1.641
1,2.0,3.0,2,15,0.6,0.885,1.6503
1,2.0,3.0,2,16,0.64,0.9128,1.6572
1,2.0,3.0,2,17,0.68,0.9423,1.6614
1,2.0,3.0,2,18,0.72,0.9739,1.6641
1,2.0,3.0,2,19,0.76,1.007,1.6648
1,2.0,3.0,2,20,0.8,1.0408,1.6634
1,2.0,3.0,2,21,0.84,1.0753,1.6606
1,2.0,3.0,2,22,0.88,1.1106,1.6567
1,2.0,3.0,2,23,0.92,1.1451,1.6523
1,2.0,3.0,2,24,0.96,1.1791,1.6477
1,2.0,3.0,2,25,1.0,1.2119,1.6433
1,2.0,3.0,2,26,1.04,1.2433,1.6402
1,2.0,3.0,2,27,1.08,1.2732,1.6382
1,2.0,3.0,2,28,1.12,1.3018,1.6378
1,2.0,3.0,2,29,1.16,1.3299,1.6401
1,2.0,3.0,2,30,1.2,1.3569,1.6439
1,2.0,3.0,2,31,1.24,1.3823,1.6477
1,2.0,3.0,2,32,1.28,1.4066,1.6512
1,2.0,3.0,2,33,1.32,1.4298,1.6538
1,2.0,3.0,2,34,1.36,1.4519,1.6561
1,2.0,3.0,2,35,1.4,1.473,1.6583
1,2.0,3.0,2,36,1.44,1.4928,1.6598
1,2.0,3.0,2,37,1.48,1.5114,1.661
1,2.0,3.0,2,38,1.52,1.553,1.6902
1,2.0,3.0,2,39,1.56,1.5686,1.6898
1,2.0,3.0,2,40,1.6,1.5845,1.6895
1,2.0,3.0,2,41,1.64,1.5995,1.6891
1,2.0,3.0,2,42,1.68,1.6162,1.6893
1,2.0,3.0,2,43,1.72,1.6321,1.6896
1,2.0,3.0,2,44,1.76,1.6503,1.6911
1,2.0,3.0,2,45,1.8,1.6669,1.6922
1,2.0,3.0,2,46,1.84,1.6859,1.6938
1,2.0,3.0,2,47,1.88,1.7024,1.694
1,2.0,3.0,2,48,1.92,1.7206,1.6954
1,2.0,3.0,2,49,1.96,1.7388,1.6984
1,2.0,3.0,2,50,2.0,1.7584,1.702
1,2.0,3.0,2,51,2.04,1.7767,1.7041
1,2.0,3.0,2,52,2.08,1.7951,1.7061
1,2.0,3.0,2,53,2.12,1.8132,1.7074
1,2.0,3.0,2,54,2.16,1.831,1.7082
1,2.0,3.0,2,55,2.2,1.8495,1.7094
1,2.0,3.0,2,56,2.24,1.8671,1.71
1,2.0,3.0,2,57,2.28,1.8828,1.7101
1,2.0,3.0,2,58,2.32,1.9001,1.7108
1,2.0,3.0,2,59,2.36,1.9162,1.7113
1,2.0,3.0,2,60,2.4,1.9313,1.7116
1,2.0,3.0,2,61,2.44,1.9447,1.7116
1,2.0,3.0,2,62,2.48,1.9574,1.7114
1,2.0,3.0,2,63,2.52,1.9686,1.7105
1,2.0,3.0,2,64,2.56,1.9806,1.7094
1,2.0,3.0,2,65,2.6,1.9887,1.7074
1,2.0,3.0,2,66,2.64,1.9943,1.7053
1,2.0,3.0,2,67,2.68,1.9978,1.703
1,2.0,3.0,2,68,2.72,1.9985,1.7008
1,2.0,3.0,2,69,2.76,2.0007,1.7003
1,2.0,3.0,2,70,2.8,2.0007,1.6994
1,2.0,3.0,2,71,2.84,2.0017,1.6981
1,2.0,3.0,2,72,2.88,2.0021,1.6961
1,2.0,3.0,2,73,2.92,2.0038,1.6936
1,2.0,3.0,2,74,2.96,2.0066,1.6906
1,2.0,3.0,2,75,3.0,2.0114,1.6876
1,2.0,3.0,2,76,3.04,2.017,1.6846
1,2.0,3.0,2,77,3.08,2.0244,1.6817
1,2.0,3.0,2,78,3.12,2.0327,1.6789
1,2.0,3.0,2,79,3.16,2.0413,1.6761
1,2.0,3.0,2,80,3.2,2.0508,1.6736
1,2.0,3.0,2,81,3.24,2.061,1.6714
1,2.0,3.0,2,82,3.28,2.072,1.6695
1,2.0,3.0,2,83,3.32,2.084,1.6676
1,2.0,3.0,2,84,3.36,2.0973,1.6658
1,2.0,3.0,2,85,3.4,2.1124,1.6641
1,2.0,3.0,2,86,3.44,2.1278,1.6623
1,2.0,3.0,2,87,3.48,2.1454,1.6603
1,2.0,3.0,2,88,3.52,2.1641,1.6581
1,2.0,3.0,2,89,3.56,2.1852,1.6555
1,2.0,3.0,2,90,3.6,2.2117,1.654
1,2.0,3.0,2,91,3.64,2.239,1.6528
1,2.0,3.0,2,92,3.68,2.2674,1.6536
1,2.0,3.0,2,93,3.72,2.2965,1.6577
1,2.0,3.0,2,94,3.76,2.3254,1.6639
1,2.0,3.0,2,95,3.8,2.3526,1.6699
1,2.0,3.0,2,96,3.84,2.3782,1.6746
1,2.0,3.0,2,97,3.88,2.4026,1.6785
